feature,importance_mean,importance_std
Contract,0.07106117809442615,0.008897392100346763
tenure,0.04768123323110537,0.008159256512671374
InternetService,0.019034333100829328,0.004093201333937837
MonthlyCharges,0.018530389758011277,0.0035150107828001427
PaymentMethod,0.007059819975420997,0.001557895050561572
OnlineSecurity,0.006445344936393578,0.0022849397938535733
TechSupport,0.003353409875149046,0.001799392556920452
PaperlessBilling,0.00321944324501874,0.0016397438556613947
MultipleLines,0.002984540324693752,0.0011116193381556201
StreamingTV,0.0017101965951071354,0.0006052994298986809
StreamingMovies,0.0013845063717186873,0.0004792634353034603
SeniorCitizen,0.0013520296128992637,0.0007923908609583157
TotalCharges,0.0005915936862228577,0.0018399361198769186
Dependents,0.00023398028513118722,0.00011085207482010647
gender,0.00017216372715096146,0.0002804888683473643
Partner,3.321486697449583e-05,8.99099356903733e-05
PhoneService,1.919081202966006e-05,0.00011764492375950955
OnlineBackup,-7.344176142129058e-05,0.0007319352858621625
DeviceProtection,-8.672770821106988e-05,3.325891922094462e-05
