base_feature,mean_abs_shap
Contract,0.956425777831552
tenure,0.4613308961599492
OnlineSecurity,0.24307941650583842
MonthlyCharges,0.24044300017427062
PaymentMethod,0.21933747444294613
InternetService,0.2144705619838368
PaperlessBilling,0.12703026369229975
TechSupport,0.10844838691802616
TotalCharges,0.10080772406413192
OnlineBackup,0.07336055973982933
StreamingTV,0.06358780151868608
MultipleLines,0.060717022473083214
SeniorCitizen,0.06001345991591582
StreamingMovies,0.0425006686444964
Dependents,0.014926470424960135
gender,0.011921931392332077
PhoneService,0.007856787382665209
Partner,0.0038058264292141967
DeviceProtection,0.0028377229701664237
